delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.4,1000,exp,116,8,9,space,0.2273885002359748,None,800,1,[1.9164891000837088],[1.9165024999529123],9,8,116,10,533.7128762002103,,533.7069911998697,533.7128762002103,534.6988412002102,534.6988412002102,534.7058941000141,534.928500100039,space,0.2273885002359748,None,534.9290839000605,535.3340108669984,535.652862700168,535.6381514999084,535.6385218002833,535.652862700168,535.652862700168,535.652862700168,537.569773199968,800,1,[1.9164891000837088],[1.9165024999529123],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.7,400,unexp,117,9,9,space,0.1760720000602305,None,400,1,[2.582029899582267],[2.5820406996645033],9,9,117,2,537.5758704002947,,537.5701180002652,537.5758704002947,538.5620694002137,538.5620694002137,538.568958800286,538.7433162000962,space,0.1760720000602305,None,538.7442705002613,539.4466210669527,539.7616004999727,539.746971399989,539.7475471002981,539.7616004999727,539.7616004999727,539.7616004999727,542.3439922002144,400,1,[2.582029899582267],[2.5820406996645033],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.4,400,unexp,118,10,9,space,0.0009635998867452145,None,300,1,[1.761359500233084],[1.7613683003000915],9,10,118,1,542.3503988999873,,542.3443702002987,542.3503988999873,543.3363756001927,543.3363756001927,543.343118400313,543.3435174999759,space,0.0009635998867452145,None,543.3444099002518,543.7488019667255,544.0666339001618,544.0521889002994,544.0525691001676,544.0666339001618,544.0666339001618,544.0666339001618,545.8282961002551,300,1,[1.761359500233084],[1.7613683003000915],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.1,400,unexp,119,11,9,space,0.7017691996879876,None,300,1,[2.5147608001716435],[2.5147716999053955],9,11,119,0,545.8349232999608,,545.8285467000678,545.8349232999608,546.8211068999954,546.8211068999954,546.8279806002975,547.5298501001671,space,0.7017691996879876,None,547.5305996001698,547.6293128668951,547.9392051999457,547.9258934999816,547.9263629000634,547.9392051999457,547.9392051999457,547.9392051999457,550.4543169001117,300,1,[2.5147608001716435],[2.5147716999053955],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.4,1000,exp,120,0,10,space,0.2636013003066182,None,500,1,[2.1726154000498354],[2.172624600119889],10,0,120,7,550.4607913000509,,550.454572699964,550.4607913000509,551.4468493000604,551.4468493000604,551.4537698002532,551.7114289002493,space,0.2636013003066182,None,551.7121151001193,552.1169026666942,552.4350594999269,552.4171250001527,552.4176135002635,552.4350594999269,552.4350594999269,552.4350594999269,554.608003300149,500,1,[2.1726154000498354],[2.172624600119889],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.7,1000,exp,121,1,10,space,0.23440300021320581,None,600,1,[1.550091499928385],[1.5501008001156151],10,1,121,11,554.6141208000481,,554.6083440002985,554.6141208000481,555.6004190002568,555.6004190002568,555.6074212002568,555.8386403000914,space,0.23440300021320581,None,555.8393363999203,556.5427719667243,556.8606913001277,556.8427237998694,556.8430896000937,556.8606913001277,556.8606913001277,556.8606913001277,558.4110806998797,600,1,[1.550091499928385],[1.5501008001156151],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.4,1000,exp,122,2,10,space,0.08378320001065731,None,500,1,[2.145398600026965],[2.1454074000939727],10,2,122,4,558.4179305001162,,558.4113328000531,558.4179305001162,559.4039636999369,559.4039636999369,559.4109093002044,559.494500100147,space,0.08378320001065731,None,559.4950943002477,559.8996795667956,560.2174510001205,560.1982789002359,560.1988650001585,560.2174510001205,560.2174510001205,560.2174510001205,562.3631545002572,500,1,[2.145398600026965],[2.1454074000939727],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.7,1000,exp,123,3,10,space,0.281596299726516,None,600,1,[1.5980267999693751],[1.598038800060749],10,3,123,8,562.3695747000165,,562.363415400032,562.3695747000165,563.355678900145,563.355678900145,563.3627279000357,563.641345300246,space,0.281596299726516,None,563.6420195000246,564.3451828668515,564.6642583003268,564.6506004002877,564.6511782002635,564.6642583003268,564.6642583003268,564.6642583003268,566.2626879001036,600,1,[1.5980267999693751],[1.598038800060749],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.7,1000,exp,124,4,10,space,0.22794939996674657,None,700,1,[2.1202655998058617],[2.1202767002396286],10,4,124,5,566.2691478002816,,566.2630203003064,566.2691478002816,567.2557524000295,567.2557524000295,567.2622523000464,567.4850180000067,space,0.22794939996674657,None,567.4856989001855,568.1885449668082,568.5064588999376,568.4916385998949,568.4920073999092,568.5064588999376,568.5064588999376,568.5064588999376,570.627051200252,700,1,[2.1202655998058617],[2.1202767002396286],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.4,400,unexp,125,5,10,space,0.18942740000784397,None,400,1,[1.9138249000534415],[1.9138372996822],10,5,125,1,570.6334311002865,,570.62731599994,570.6334311002865,571.6196409002878,571.6196409002878,571.6264523998834,571.814427500125,space,0.18942740000784397,None,571.8150348002091,572.21980476665,572.5371802998707,572.5246218000539,572.5251195998862,572.5371802998707,572.5371802998707,572.5371802998707,574.4513731999323,400,1,[1.9138249000534415],[1.9138372996822],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.1,400,unexp,126,6,10,space,0.23765949998050928,None,300,1,[1.6896131997928023],[1.6896282997913659],10,6,126,0,574.4577607000247,,574.4516334002838,574.4577607000247,575.443730100058,575.443730100058,575.4508262001909,575.6872654003091,space,0.23765949998050928,None,575.6881923000328,575.7869718666809,576.1049528000876,576.088946999982,576.0894380002283,576.1049528000876,576.1049528000876,576.1049528000876,577.7950438000262,300,1,[1.6896131997928023],[1.6896282997913659],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.7,400,unexp,127,7,10,space,0.1504997001029551,None,300,1,[1.8439221000298858],[1.8439314998686314],10,7,127,2,577.8006899999455,,577.7954246001318,577.8006899999455,578.7871464001946,578.7871464001946,578.7939045000821,578.9400276001543,space,0.1504997001029551,None,578.9408152000979,579.6441472666959,579.9619613001123,579.943722399883,579.9444730998948,579.9619613001123,579.9619613001123,579.9619613001123,581.8062074999325,300,1,[1.8439221000298858],[1.8439314998686314],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.1,1000,exp,128,8,10,space,0.2878418997861445,None,500,1,[2.044499000068754],[2.044509000144899],10,8,128,9,581.8128964002244,,581.8064546999522,581.8128964002244,582.7989322999492,582.7989322999492,582.8058271002956,583.0913249999285,space,0.2878418997861445,None,583.0923152999021,583.1913856669019,583.5095474002883,583.4875918002799,583.4883524002507,583.5095474002883,583.5095474002883,583.5095474002883,585.5544195002876,500,1,[2.044499000068754],[2.044509000144899],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.1,1000,exp,129,9,10,space,0.2400344000197947,None,600,1,[1.7984595000743866],[1.7984686000272632],10,9,129,6,585.5609468002804,,585.5546796000563,585.5609468002804,586.5472152000293,586.5472152000293,586.5541415000334,586.7904946003109,space,0.2400344000197947,None,586.7913577998988,586.8904150669152,587.2081331000663,587.1914277002215,587.1918124002405,587.2081331000663,587.2081331000663,587.2081331000663,589.0069061000831,600,1,[1.7984595000743866],[1.7984686000272632],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.1,1000,exp,130,10,10,space,0.09442979982122779,None,600,1,[1.682526999618858],[1.6825428996235132],10,10,130,3,589.0128951999359,,589.0071457000449,589.0128951999359,589.9992404002696,589.9992404002696,590.0062623000704,590.0968583002687,space,0.09442979982122779,None,590.0977568002418,590.1965185669872,590.5145181999542,590.4960988000967,590.4965996001847,590.5145181999542,590.5145181999542,590.5145181999542,592.1975309001282,600,1,[1.682526999618858],[1.6825428996235132],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.4,1000,exp,131,11,10,space,0.08622159995138645,None,700,1,[1.547764599788934],[1.5477796997874975],10,11,131,10,592.2038855003193,,592.1978424000554,592.2038855003193,593.1898060003296,593.1898060003296,593.1968499999493,593.2806469001807,space,0.08622159995138645,None,593.2815999002196,593.6856767666216,594.0044224001467,593.9855856001377,593.9860660000704,594.0044224001467,594.0044224001467,594.0044224001467,595.5526697998866,700,1,[1.547764599788934],[1.5477796997874975],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.1,1000,exp,132,0,11,space,0.09715729998424649,None,800,1,[2.030758600216359],[2.0307738999836147],11,0,132,3,595.5590611002408,,595.5530583001673,595.5590611002408,596.5451605003327,596.5451605003327,596.5521622002125,596.6428915001452,space,0.09715729998424649,None,596.6437631002627,596.7423773669327,597.0612646001391,597.0437532002106,597.0442719999701,597.0612646001391,597.0612646001391,597.0612646001391,599.0923577998765,800,1,[2.030758600216359],[2.0307738999836147],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.7,1000,exp,133,1,11,space,0.021103099919855595,None,800,1,[2.7513887002132833],[2.7513989000581205],11,1,133,11,599.0993502000347,,599.0926029998809,599.0993502000347,600.0849339999259,600.0849339999259,600.0919750998728,600.1132412999868,space,0.021103099919855595,None,600.1141603002325,600.8169317669856,601.1352671999484,601.1200129003264,601.1206630999222,601.1352671999484,601.1352671999484,601.1352671999484,603.8870073999278,800,1,[2.7513887002132833],[2.7513989000581205],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
