pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
50,c,82,2,20,c,1,0.7101759999059141,None,20,2,82,2,,,,,211.1382009999361,,211.1251856999006,211.1382009999361,212.13820709986612,212.13820709986612,212.13820709986612,212.13820709986612,212.13820709986612,213.13819949980825,213.13819949980825,213.85867859981954,c,1,0.7101759999059141,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-150,z,83,3,20,z,1,0.2933167000301182,None,20,3,83,3,,,,,213.87166869989596,,213.85904320003465,213.87166869989596,214.87188589992002,214.87188589992002,214.87188589992002,214.87188589992002,214.87188589992002,215.87149849999696,215.87149849999696,216.1747081000358,z,1,0.2933167000301182,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-50,x,84,0,21,x,1,0.30871879984624684,None,21,0,84,0,,,,,216.18787249992602,,216.175063499948,216.18787249992602,217.18805149989203,217.18805149989203,217.18805149989203,217.18805149989203,217.18805149989203,218.18841679999605,218.18841679999605,218.5091474999208,x,1,0.30871879984624684,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
150,v,85,1,21,v,1,0.6839567001443356,None,21,1,85,1,,,,,218.52108829980716,,218.5095945999492,218.52108829980716,219.52210409985855,219.52210409985855,219.52210409985855,219.52210409985855,219.52210409985855,220.5216224999167,220.5216224999167,221.20871969987638,v,1,0.6839567001443356,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
50,c,86,2,21,c,1,0.5490343999117613,None,21,2,86,2,,,,,221.22098609991372,,221.20907419989817,221.22098609991372,222.22180459997617,222.22180459997617,222.22180459997617,222.22180459997617,222.22180459997617,223.22074739984237,223.22074739984237,223.7755602998659,c,1,0.5490343999117613,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-150,z,87,3,21,z,1,0.3196229001041502,None,21,3,87,3,,,,,223.78765959991142,,223.77591439988464,223.78765959991142,224.78798649995588,224.78798649995588,224.78798649995588,224.78798649995588,224.78798649995588,225.7871952999849,225.7871952999849,226.10858889995143,z,1,0.3196229001041502,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-50,x,88,0,22,x,1,0.33247769996523857,None,22,0,88,0,,,,,226.1209133998491,,226.10898060002364,226.1209133998491,227.12059009983204,227.12059009983204,227.12059009983204,227.12059009983204,227.12059009983204,228.12098909984343,228.12098909984343,228.45935779996216,x,1,0.33247769996523857,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
150,v,89,1,22,v,1,0.6494217000436038,None,22,1,89,1,,,,,228.47110249986872,,228.4597894998733,228.47110249986872,229.47068129992113,229.47068129992113,229.47068129992113,229.47068129992113,229.47068129992113,230.47060470003635,230.47060470003635,231.12449349998496,v,1,0.6494217000436038,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
50,c,90,2,22,c,1,0.5945630001369864,None,22,2,90,2,,,,,231.13730299985036,,231.1248784000054,231.13730299985036,232.13743090000935,232.13743090000935,232.13743090000935,232.13743090000935,232.13743090000935,233.13708289992064,233.13708289992064,233.74085439997725,c,1,0.5945630001369864,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-150,z,91,3,22,z,1,0.36378170014359057,None,22,3,91,3,,,,,233.75400059996173,,233.7412733999081,233.75400059996173,234.75373609992675,234.75373609992675,234.75373609992675,234.75373609992675,234.75373609992675,235.75414779991843,235.75414779991843,236.12442519981414,z,1,0.36378170014359057,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
