word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,text.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thanks.started,text_3.started,text_3.stopped,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
RED,blue,I,b,9,1,2,b,1,0.46374289999948815,None,2,1,9,1,21.118071699980646,,,,,21.110552199999802,21.118071699980646,21.604624499974307,21.604624499974307,21.604624499974307,,22.07321469997987,b,1,0.46374289999948815,None,,,,,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
RED,red,C,r,10,2,2,r,1,0.48178530001314357,None,2,2,10,0,22.083670699968934,,,,,22.073639699956402,22.083670699968934,22.570369599969126,22.570369599969126,22.570369599969126,,23.059482399956323,r,1,0.48178530001314357,None,,,,,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
BLUE,red,I,r,11,3,2,r,1,0.3996837000013329,None,2,3,11,2,23.070309899980202,,,,,23.0624911999912,23.070309899980202,23.55631459999131,23.55631459999131,23.55631459999131,,23.9621340999729,r,1,0.3996837000013329,None,,,,,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
RED,red,C,r,12,0,3,r,1,0.3590298999915831,None,3,0,12,0,23.97224209998967,,,,,23.964334399963263,23.97224209998967,24.459076399973128,24.459076399973128,24.459076399973128,,24.823262099991553,r,1,0.3590298999915831,None,,,,,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
RED,blue,I,b,13,1,3,b,1,0.6089607999892905,None,3,1,13,1,24.833563099964522,,,,,24.82368819997646,24.833563099964522,25.313239599985536,25.313239599985536,25.313239599985536,,25.927434899960645,b,1,0.6089607999892905,None,,,,,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
BLUE,blue,C,b,14,2,3,b,1,0.3778963999939151,None,3,2,14,3,25.937956299982034,,,,,25.929636499960907,25.937956299982034,26.41733679996105,26.41733679996105,26.41733679996105,,26.802754000003915,b,1,0.3778963999939151,None,,,,,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
BLUE,red,I,r,15,3,3,r,1,0.6005855999537744,None,3,3,15,2,26.813094399985857,,,,,26.80317709996598,26.813094399985857,27.299122700002044,27.299122700002044,27.299122700002044,,27.906147699977737,r,1,0.6005855999537744,None,,,,,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
RED,red,C,r,16,0,4,r,1,1.1239004000090063,None,4,0,16,0,27.91714849998243,,,,,27.908249799977057,27.91714849998243,28.396469099971,28.396469099971,28.396469099971,,29.524648399965372,r,1,1.1239004000090063,None,,,,,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
BLUE,red,I,r,17,1,4,r,1,0.7092182000051253,None,4,1,17,2,29.534952499961946,,,,,29.526856899959967,29.534952499961946,30.021695899951737,30.021695899951737,30.021695899951737,,30.732900800008792,r,1,0.7092182000051253,None,,,,,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
BLUE,blue,C,b,18,2,4,b,1,0.5677877999842167,None,4,2,18,3,30.74318019999191,,,,,30.733325399982277,30.74318019999191,31.222686399996746,31.222686399996746,31.222686399996746,,31.79525729996385,b,1,0.5677877999842167,None,,,,,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
RED,blue,I,b,19,3,4,b,1,0.33544769999571145,None,4,3,19,1,31.805540999979712,,,,,31.79743639996741,31.805540999979712,32.292307399970014,32.292307399970014,32.292307399970014,,32.62887570000021,b,1,0.33544769999571145,None,,,,,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.629018099978566,32.639088199997786,33.63230359996669,33.62810679996619,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
