thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
61,0,61,[np.float64(-0.095)],[np.float64(-0.44)],[1],[0],[0],[2.739868199918419],['target'],61,0,61,0,132.69051079987548,,10,132.68279980006628,132.69051079987548,132.69051079987548,0.01596720004454255,135.42270740005188,[np.float64(-0.095)],[np.float64(-0.44)],[1],[0],[0],[2.739868199918419],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
62,0,62,[np.float64(-0.49333333333333335)],[np.float64(-0.051666666666666666)],[1],[0],[0],[2.0541988001205027],['target'],62,0,62,0,135.44759780005552,,10,135.43887749989517,135.44759780005552,135.44759780005552,0.01608150009997189,137.49314379994757,[np.float64(-0.49333333333333335)],[np.float64(-0.051666666666666666)],[1],[0],[0],[2.0541988001205027],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
63,0,63,[np.float64(0.4116666666666667)],[np.float64(-0.075)],[1],[0],[0],[2.318053999915719],['target'],63,0,63,0,137.5104650000576,,5,137.50197799992748,137.5104650000576,137.5104650000576,0.00860509998165071,139.82013410003856,[np.float64(0.4116666666666667)],[np.float64(-0.075)],[1],[0],[0],[2.318053999915719],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
64,0,64,[np.float64(0.0016666666666666668)],[np.float64(-0.30666666666666664)],[1],[0],[0],[1.6179486000910401],['target'],64,0,64,0,139.8503262999002,,10,139.83967710006982,139.8503262999002,139.8503262999002,0.019400599878281355,141.45766599988565,[np.float64(0.0016666666666666668)],[np.float64(-0.30666666666666664)],[1],[0],[0],[1.6179486000910401],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
65,0,65,[np.float64(0.02666666666666667)],[np.float64(-0.4)],[1],[0],[0],[1.5327279998455197],['target'],65,0,65,0,141.48223469988443,,10,141.47353319986723,141.48223469988443,141.48223469988443,0.01577490009367466,143.00631899992004,[np.float64(0.02666666666666667)],[np.float64(-0.4)],[1],[0],[0],[1.5327279998455197],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
66,0,66,[np.float64(0.17833333333333334)],[np.float64(-0.043333333333333335)],[1],[0],[0],[1.4840691999997944],[None],66,0,66,0,143.0243881000206,,5,143.01489680004306,143.0243881000206,143.0243881000206,0.00844509992748499,144.4990095999092,[np.float64(0.17833333333333334)],[np.float64(-0.043333333333333335)],[1],[0],[0],[1.4840691999997944],[None],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
67,0,67,[np.float64(0.02666666666666667)],[np.float64(0.21)],[1],[0],[0],[1.484849200118333],['target'],67,0,67,0,144.51743260002695,,5,144.50766750006005,144.51743260002695,144.51743260002695,0.008583799935877323,145.99255710002035,[np.float64(0.02666666666666667)],[np.float64(0.21)],[1],[0],[0],[1.484849200118333],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
68,0,68,[np.float64(-0.2783333333333333)],[np.float64(-0.028333333333333332)],[1],[0],[0],[1.9851170000620186],['target'],68,0,68,0,146.01037329994142,,5,146.00068669999018,146.01037329994142,146.01037329994142,0.008055099984630942,147.9858474000357,[np.float64(-0.2783333333333333)],[np.float64(-0.028333333333333332)],[1],[0],[0],[1.9851170000620186],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
69,0,69,[np.float64(0.45166666666666666)],[np.float64(-0.38166666666666665)],[1],[0],[0],[3.7803521999157965],['target'],69,0,69,0,148.01756730000488,,10,148.00332159991376,148.01756730000488,148.01756730000488,0.01740050013177097,151.78370899986476,[np.float64(0.45166666666666666)],[np.float64(-0.38166666666666665)],[1],[0],[0],[3.7803521999157965],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
70,0,70,[np.float64(0.31666666666666665)],[np.float64(0.17666666666666667)],[1],[0],[0],[2.726552200037986],[None],70,0,70,0,151.8093113999348,,10,151.80060539999977,151.8093113999348,151.8093113999348,0.016805999912321568,154.5272125999909,[np.float64(0.31666666666666665)],[np.float64(0.17666666666666667)],[1],[0],[0],[2.726552200037986],[None],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
71,0,71,[np.float64(-0.36333333333333334)],[np.float64(0.2916666666666667)],[1],[0],[0],[1.8793287000153214],['target'],71,0,71,0,154.55154809984379,,10,154.54359250003472,154.55154809984379,154.55154809984379,0.01625009998679161,156.4229605998844,[np.float64(-0.36333333333333334)],[np.float64(0.2916666666666667)],[1],[0],[0],[1.8793287000153214],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
72,0,72,[np.float64(-0.43666666666666665)],[np.float64(0.025)],[1],[0],[0],[1.4285936001688242],['target'],72,0,72,0,156.44780989992432,,10,156.43910619989038,156.44780989992432,156.44780989992432,0.01605460001155734,157.8677381000016,[np.float64(-0.43666666666666665)],[np.float64(0.025)],[1],[0],[0],[1.4285936001688242],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
73,0,73,[np.float64(-0.025)],[np.float64(-0.17833333333333334)],[1],[0],[0],[2.3095054000150412],['target'],73,0,73,0,157.8919369999785,,10,157.88425890007056,157.8919369999785,157.8919369999785,0.01643100008368492,160.19380909996107,[np.float64(-0.025)],[np.float64(-0.17833333333333334)],[1],[0],[0],[2.3095054000150412],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
74,0,74,[np.float64(-0.225)],[np.float64(-0.028333333333333332)],[1],[0],[0],[2.0125126000493765],['target'],74,0,74,0,160.21915009990335,,10,160.20928249997087,160.21915009990335,160.21915009990335,0.015381200006231666,162.22186429984868,[np.float64(-0.225)],[np.float64(-0.028333333333333332)],[1],[0],[0],[2.0125126000493765],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
75,0,75,[np.float64(-0.26666666666666666)],[np.float64(-0.028333333333333332)],[1],[0],[0],[1.0808777001220733],['target'],75,0,75,0,162.2399527998641,,5,162.23059180006385,162.2399527998641,162.2399527998641,0.008595699910074472,163.31151190004312,[np.float64(-0.26666666666666666)],[np.float64(-0.028333333333333332)],[1],[0],[0],[1.0808777001220733],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
76,0,76,[np.float64(0.4266666666666667)],[np.float64(0.22166666666666668)],[1],[0],[0],[1.818686499958858],['target'],76,0,76,0,163.32964750006795,,5,163.31979739991948,163.32964750006795,163.32964750006795,0.008184399921447039,165.13853979995474,[np.float64(0.4266666666666667)],[np.float64(0.22166666666666668)],[1],[0],[0],[1.818686499958858],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
